End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2021-11-15T11:11:00.000+00:00,2021-11-15,11:11:00,1636974660,0,1500
2021-11-16T11:15:00.000+00:00,2021-11-16,11:15:00,1637061300,0,1500
2021-12-19T19:05:00.000+00:00,2021-12-19,19:05:00,1639940700,0,1500
2021-12-19T19:37:00.000+00:00,2021-12-19,19:37:00,1639942620,0,1500
2021-12-19T20:09:00.000+00:00,2021-12-19,20:09:00,1639944540,0,1500
2021-12-19T21:32:00.000+00:00,2021-12-19,21:32:00,1639949520,0,1500
2021-12-19T22:22:00.000+00:00,2021-12-19,22:22:00,1639952520,0,1500
2021-12-19T22:58:00.000+00:00,2021-12-19,22:58:00,1639954680,0,1500
2021-12-20T11:16:00.000+00:00,2021-12-20,11:16:00,1639998960,0,1500
2021-12-20T11:51:00.000+00:00,2021-12-20,11:51:00,1640001060,0,1500
2021-12-20T12:31:00.000+00:00,2021-12-20,12:31:00,1640003460,0,1500
2021-12-20T13:50:00.000+00:00,2021-12-20,13:50:00,1640008200,0,1500
2021-12-20T19:34:00.000+00:00,2021-12-20,19:34:00,1640028840,0,1500
2021-12-20T20:39:00.000+00:00,2021-12-20,20:39:00,1640032740,0,1500
2021-12-20T21:11:00.000+00:00,2021-12-20,21:11:00,1640034660,0,1500
2021-12-20T21:41:00.000+00:00,2021-12-20,21:41:00,1640036460,0,1500
2021-12-21T12:40:00.000+00:00,2021-12-21,12:40:00,1640090400,0,1500
2021-12-21T13:16:00.000+00:00,2021-12-21,13:16:00,1640092560,0,1500
2021-12-21T17:06:00.000+00:00,2021-12-21,17:06:00,1640106360,0,1500
2021-12-22T17:23:00.000+00:00,2021-12-22,17:23:00,1640193780,0,1500
2021-12-22T18:22:00.000+00:00,2021-12-22,18:22:00,1640197320,0,1500
2021-12-23T20:22:00.000+00:00,2021-12-23,20:22:00,1640290920,0,1500
2021-12-23T20:53:00.000+00:00,2021-12-23,20:53:00,1640292780,0,1500
2021-12-26T20:59:00.000+00:00,2021-12-26,20:59:00,1640552340,0,1500
2021-12-27T07:43:00.000+00:00,2021-12-27,07:43:00,1640590980,0,1500
2021-12-27T08:13:00.000+00:00,2021-12-27,08:13:00,1640592780,0,1500
2021-12-30T16:10:00.000+00:00,2021-12-30,16:10:00,1640880600,0,1500
2021-12-30T16:42:00.000+00:00,2021-12-30,16:42:00,1640882520,0,1500
2021-12-31T13:19:00.000+00:00,2021-12-31,13:19:00,1640956740,0,1500
2022-01-02T20:36:00.000+00:00,2022-01-02,20:36:00,1641155760,0,1500
2022-01-02T21:14:00.000+00:00,2022-01-02,21:14:00,1641158040,0,1500
2022-01-02T21:57:00.000+00:00,2022-01-02,21:57:00,1641160620,0,1500
2022-01-03T12:36:00.000+00:00,2022-01-03,12:36:00,1641213360,0,1500
2022-01-03T14:24:00.000+00:00,2022-01-03,14:24:00,1641219840,0,1500
2022-01-03T16:02:00.000+00:00,2022-01-03,16:02:00,1641225720,0,1500
2022-01-03T17:19:00.000+00:00,2022-01-03,17:19:00,1641230340,0,1500
2022-01-03T20:58:00.000+00:00,2022-01-03,20:58:00,1641243480,0,1500
2022-01-03T21:43:00.000+00:00,2022-01-03,21:43:00,1641246180,0,1500
2022-01-03T22:19:00.000+00:00,2022-01-03,22:19:00,1641248340,0,1500
2022-01-04T11:57:00.000+00:00,2022-01-04,11:57:00,1641297420,0,1500
2022-01-04T17:50:00.000+00:00,2022-01-04,17:50:00,1641318600,0,1500
2022-01-05T12:19:00.000+00:00,2022-01-05,12:19:00,1641385140,0,1500
2022-01-05T12:51:00.000+00:00,2022-01-05,12:51:00,1641387060,0,1500
2022-01-05T13:27:00.000+00:00,2022-01-05,13:27:00,1641389220,0,1500
2022-01-05T16:35:00.000+00:00,2022-01-05,16:35:00,1641400500,0,1500
2022-01-07T07:24:00.000+00:00,2022-01-07,07:24:00,1641540240,0,1500
